word,list_of_urls
partner,"[['https://www.cfcindia.org/wftw/a-marriage-ordained-by-god', 10.88764968577223, 1], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 10.215965562768707, 3], ['https://www.cfcindia.org/wftw/a-new-attitude-of-mind-giving-our-maximum-to-the-lord', 10.973120385702765, 1], ['https://www.cfcindia.org/wftw/gods-plan-for-an-excellent-marriage', 10.826869791960352, 2], ['https://www.cfcindia.org/wftw/what-can-the-lord-get-out-of-the-one-earthly-life-that-i-have', 10.916848472294433, 1], ['https://www.cfcindia.org/wftw/gods-first-messages-to-man-part-2', 11.04492090008015, 1], ['https://www.cfcindia.org/wftw/do-not-be-unequally-yoked-up-with-unbelievers', 10.135643054464246, 2], ['https://www.cfcindia.org/wftw/a-wise-man-learns-from-the-mistakes-of-others', 10.972162466841764, 1], ['https://www.cfcindia.org/wftw/taking-the-yoke-of-jesus-upon-us', 11.642655077451192, 2], ['https://www.cfcindia.org/wftw/god-supports-those-whose-heart-is-completely-his', 11.438394824709967, 1]]"
co,"[['https://www.cfcindia.org/wftw/the-glorious-calling-of-women-as-mothers', 9.54922362493921, 1], ['https://www.cfcindia.org/wftw/the-proof-of-our-faith', 12.930142009047557, 2]]"
calvary,"[['https://www.cfcindia.org/wftw/never-forget-that-jesus-defeated-satan-on-the-cross', 9.65534870091687, 2], ['https://www.cfcindia.org/wftw/walk-with-jesus-every-day-of-this-new-year', 8.781409246971135, 1], ['https://www.cfcindia.org/wftw/an-adequate-response-to-god', 9.330835232952317, 1], ['https://www.cfcindia.org/wftw/god-takes-great-delight-in-turning-the-tables-on-satan', 9.438170086164321, 1], ['https://www.cfcindia.org/wftw/focus-on-finishing-your-christian-life-well', 10.328104965402188, 1], ['https://www.cfcindia.org/wftw/the-divine-exchange', 8.623083507562278, 1], ['https://www.cfcindia.org/wftw/praising-god-for-everything', 8.376864735242993, 1], ['https://www.cfcindia.org/wftw/the-covering-of-reproach-on-the-church', 8.612716737139296, 1], ['https://www.cfcindia.org/wftw/dont-let-past-failures-discourage-you-1', 8.51215179361461, 2], ['https://www.cfcindia.org/wftw/dont-let-past-failures-discourage-you-1', 11.072078819656243, 2], ['https://www.cfcindia.org/wftw/jesus-defeated-satan-on-the-cross', 8.110265111142708, 2], ['https://www.cfcindia.org/wftw/you-can-overcome-discouragement', 8.691030779061768, 1], ['https://www.cfcindia.org/wftw/the-blood-of-christ', 7.62807506560683, 3], ['https://www.cfcindia.org/wftw/calvary-always-precedes-pentecost', 8.097691203033888, 2], ['https://www.cfcindia.org/wftw/crucifixion-and-praise', 8.21986712046425, 2], ['https://www.cfcindia.org/wftw/a-new-and-living-way', 9.779708175455589, 1], ['https://www.cfcindia.org/wftw/show-mercy-out-of-gratitude', 8.677334475112868, 2], ['https://www.cfcindia.org/wftw/the-difference-between-old-and-new-covenant', 8.670059517166209, 2], ['https://www.cfcindia.org/wftw/the-principle-of-sacrifice', 10.966614903861752, 1], ['https://www.cfcindia.org/wftw/some-reasons-for-perpetual-financial-difficulties', 8.28748792520881, 1], ['https://www.cfcindia.org/wftw/allknowing-almighty-power-of-our-god-and-father', 8.948373070481964, 1], ['https://www.cfcindia.org/wftw/the-defeat-of-satan', 8.948916735185435, 2], ['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan-0', 9.818298385324573, 1], ['https://www.cfcindia.org/wftw/jesus-valued-unbroken-fellowship-with-the-father-in-heaven', 8.439152926935435, 1], ['https://www.cfcindia.org/wftw/wait-for-gods-time', 9.712726361809569, 1], ['https://www.cfcindia.org/wftw/real-fire-and-false-fire', 9.555787452477501, 1], ['https://www.cfcindia.org/wftw/yield-yourself-to-god-without-any-reservation', 9.159413079999604, 1], ['https://www.cfcindia.org/wftw/do-not-trust-in-your-own-righteousness', 11.29041477421696, 1], ['https://www.cfcindia.org/wftw/the-true-meaning-of-burnt-offering', 8.93471183277518, 1], ['https://www.cfcindia.org/wftw/the-risen-lord-0', 10.295977043060969, 1], ['https://www.cfcindia.org/wftw/the-sufferings-of-christ', 13.306996558459618, 1], ['https://www.cfcindia.org/wftw/redemption-and-victory', 7.803231497856299, 3], ['https://www.cfcindia.org/wftw/learn-to-wait-for-gods-time', 8.872709539734666, 1], ['https://www.cfcindia.org/wftw/the-cross-involves-a-separation', 8.719089094907558, 2], ['https://www.cfcindia.org/wftw/be-an-encourager-and-a-threat-to-the-devil', 9.315904876771256, 2], ['https://www.cfcindia.org/wftw/be-rooted-and-grounded-in-what-god-has-done-for-us-in-christ', 8.879768279338174, 1], ['https://www.cfcindia.org/wftw/fourth-requirement-for-spiritual-progressthe-way-of-the-cross', 8.10343996242244, 1], ['https://www.cfcindia.org/wftw/first-requirement-for-spiritual-progressthe-blood-of-christ', 7.78823713296595, 3], ['https://www.cfcindia.org/wftw/leave-the-past-behind-and-trust-god-for-a-good-future', 10.877569018826726, 2], ['https://www.cfcindia.org/wftw/leave-the-past-behind-and-trust-god-for-a-good-future', 8.573914842494474, 2], ['https://www.cfcindia.org/wftw/proclaim-the-victory-of-christ-over-satan', 8.63973049854971, 2], ['https://www.cfcindia.org/wftw/know-your-birthright-in-christ', 10.338520818081388, 1], ['https://www.cfcindia.org/wftw/know-your-birthright-in-christ', 7.771279686157699, 1], ['https://www.cfcindia.org/wftw/the-cross-brings-victory', 8.48522792746574, 4], ['https://www.cfcindia.org/wftw/the-risen-lord', 9.115395858648021, 1], ['https://www.cfcindia.org/wftw/power-over-satan', 8.68626836957994, 1], ['https://www.cfcindia.org/wftw/grace', 8.573299092961422, 1], ['https://www.cfcindia.org/wftw/the-will-of-god', 8.825920663442217, 1], ['https://www.cfcindia.org/wftw/becoming-a-blessing-0', 8.785718901631109, 1], ['https://www.cfcindia.org/wftw/becoming-a-blessing', 10.103253869249928, 1], ['https://www.cfcindia.org/article/hymns-written-by-zac-poonen', 9.365960548331403, 1]]"
bribery,"[['https://www.cfcindia.org/wftw/words-of-wisdom', 17.40526301514189, 1]]"
nlt,"[['https://www.cfcindia.org/wftw/a-danielministry-and-a-luciferministry-10', 9.544761100236993, 1], ['https://www.cfcindia.org/wftw/people-go-astray-when-leaders-go-astray', 10.076941008279357, 1]]"
subject,"[['https://www.cfcindia.org/wftw/the-example-of-apostle-paul', 7.701876780829237, 1]]"
picture,"[['https://www.cfcindia.org/wftw/draw-from-the-bank-of-heaven', 7.536187352305142, 1], ['https://www.cfcindia.org/wftw/appreciate-the-variety-in-the-body-of-christ', 7.287980866132325, 2], ['https://www.cfcindia.org/wftw/the-second-coming-of-christ', 7.51075124751802, 1], ['https://www.cfcindia.org/wftw/encourage-yourself-in-the-lord', 7.887835204654059, 1], ['https://www.cfcindia.org/wftw/a-brief-message-from-god-can-bless-the-others', 7.235990486417105, 1], ['https://www.cfcindia.org/wftw/manifesting-the-spirit-of-heaven-10', 7.286067428744464, 1], ['https://www.cfcindia.org/wftw/calvary-always-precedes-pentecost', 7.210125783609752, 3], ['https://www.cfcindia.org/wftw/the-glory-of-christ-in-an-earthen-vessel', 7.210710172670693, 1], ['https://www.cfcindia.org/wftw/a-radical-attitude-towards-sexual-lust', 7.339094816764872, 1], ['https://www.cfcindia.org/wftw/two-lovely-promises-from-zechariah', 7.289013242220054, 1], ['https://www.cfcindia.org/wftw/treasures-from-three-parables-of-jesus-luke-15', 7.280677459721453, 7], ['https://www.cfcindia.org/wftw/gideon-and-his-army', 7.156338764577255, 2], ['https://www.cfcindia.org/wftw/christs-return-in-the-clouds', 7.6010803334499, 1], ['https://www.cfcindia.org/wftw/the-difference-between-the-old-man-and-the-flesh-9', 9.369881401154052, 5], ['https://www.cfcindia.org/wftw/be-anointed-with-the-holy-spirit-and-power', 7.3495653204535065, 1], ['https://www.cfcindia.org/wftw/noble-attitudes-of-jonathan-and-david', 7.286819605869001, 1], ['https://www.cfcindia.org/wftw/having-the-glory-of-god-in-an-earthen-vessel', 12.685473562599007, 1], ['https://www.cfcindia.org/wftw/there-is-a-godordained-variety-in-the-body-of-christ', 7.339480376372748, 2], ['https://www.cfcindia.org/wftw/jesus-ever-lives-to-make-intercession-for-us-hebrews-725', 7.381332118902592, 1], ['https://www.cfcindia.org/wftw/consider-others-as-more-important-than-yourself', 7.645229217466012, 1], ['https://www.cfcindia.org/wftw/resist-the-devil-and-he-will-flee-from-you-james-47', 7.019367013391084, 1], ['https://www.cfcindia.org/wftw/the-difference-between-the-old-man-and-the-flesh', 9.702207615974668, 5], ['https://www.cfcindia.org/wftw/clear-your-debt-to-the-whole-world-and-to-the-church', 9.503009459343202, 1], ['https://www.cfcindia.org/wftw/real-fire-and-false-fire', 7.40162966004533, 1], ['https://www.cfcindia.org/wftw/noah-walked-with-god', 6.9444727352279125, 2], ['https://www.cfcindia.org/wftw/a-wall-of-fire-0', 8.827579026102494, 1], ['https://www.cfcindia.org/wftw/experiencing-the-power-of-the-word-of-god', 7.102948951654814, 2], ['https://www.cfcindia.org/wftw/experiencing-the-power-of-the-word-of-god', 9.90646722339838, 2], ['https://www.cfcindia.org/wftw/do-not-be-unequally-yoked-up-with-unbelievers', 7.715409579780832, 1], ['https://www.cfcindia.org/wftw/jobs-three-friends-eliphaz-bildad-and-zophar', 6.954637267725299, 2], ['https://www.cfcindia.org/wftw/the-true-meaning-of-burnt-offering', 7.510024344094287, 3], ['https://www.cfcindia.org/wftw/an-intimate-relationship-with-the-lord', 7.354174239296669, 1], ['https://www.cfcindia.org/wftw/god-has-drawn-a-circle-around-each-person', 7.788853373207111, 2], ['https://www.cfcindia.org/wftw/covenant-relationship-in-the-body-of-christ', 7.585659648476949, 1], ['https://www.cfcindia.org/wftw/the-holy-spirit-can-minister-to-all-your-needs', 19.320830085544866, 1], ['https://www.cfcindia.org/wftw/gods-command-for-husbands-and-wives', 8.6830932050643, 1], ['https://www.cfcindia.org/wftw/imitate-the-faith-of-those-who-endure-till-the-end-heb-137', 7.403510461777974, 2], ['https://www.cfcindia.org/wftw/characteristics-of-the-antichrist-selfexaltation-lying-series-2', 7.317243210837748, 1], ['https://www.cfcindia.org/wftw/the-name-of-jesus', 7.408875824921997, 1], ['https://www.cfcindia.org/wftw/be-an-encourager-and-a-threat-to-the-devil', 7.4142653282084625, 2], ['https://www.cfcindia.org/wftw/david-recovered-all', 7.372982461278105, 1], ['https://www.cfcindia.org/wftw/a-wall-of-fire', 7.131380109883753, 1], ['https://www.cfcindia.org/wftw/a-covenant-relationship-in-the-brotherhood', 7.629253058202676, 1], ['https://www.cfcindia.org/wftw/ministry-of-intercession-0', 7.442363981077839, 1], ['https://www.cfcindia.org/wftw/enoch-a-man-who-walked-with-god', 7.0941270784007635, 2], ['https://www.cfcindia.org/wftw/secret-of-prophetic-ministry', 7.287347844771514, 1], ['https://www.cfcindia.org/wftw/the-jar-of-oil', 19.320830085544863, 1], ['https://www.cfcindia.org/wftw/warfare-against-satan', 7.46419945145102, 1], ['https://www.cfcindia.org/wftw/a-covenant-relationship', 7.617217463262721, 1], ['https://www.cfcindia.org/wftw/there-is-power-in-the-name-of-jesus', 6.99755767397553, 1], ['https://www.cfcindia.org/wftw/election-and-justification', 7.348557666148778, 3]]"
speed,"[['https://www.cfcindia.org/wftw/jesus-defeated-satan-on-the-cross', 6.519712078320528, 3], ['https://www.cfcindia.org/wftw/the-defeat-of-satan', 6.709441001218644, 3], ['https://www.cfcindia.org/wftw/resist-the-devil-and-he-will-flee-from-you-james-47', 6.509398501875744, 3], ['https://www.cfcindia.org/wftw/taking-the-yoke-of-jesus-upon-us', 7.078393404375936, 1], ['https://www.cfcindia.org/wftw/proclaim-the-victory-of-christ-over-satan', 6.530071363315728, 3], ['https://www.cfcindia.org/wftw/gods-plan-is-the-best', 6.90274193196731, 1], ['https://www.cfcindia.org/wftw/there-is-power-in-the-name-of-jesus', 6.500824503431621, 3], ['https://www.cfcindia.org/wftw/gods-plan-for-your-life', 7.15531385567978, 1], ['https://www.cfcindia.org/wftw/power-over-satan', 6.544997727028234, 2], ['https://www.cfcindia.org/wftw/grace', 6.539314413497885, 2], ['https://www.cfcindia.org/wftw/the-sovereignty-of-the-spirit', 7.1648553123354075, 1], ['https://www.cfcindia.org/article/road-rules-for-the-new-year', 6.76487544578811, 1]]"
lb,"[['https://www.cfcindia.org/wftw/some-reasons-for-perpetual-financial-difficulties', 12.117741337866274, 3], ['https://www.cfcindia.org/wftw/the-spirit-filled-life', 8.688000803273113, 2], ['https://www.cfcindia.org/wftw/human-insufficiency', 7.6140940207318435, 1]]"
joppa,"[['https://www.cfcindia.org/wftw/deliverance-through-praise', 10.742298339196356, 1]]"
bulb,"[['https://www.cfcindia.org/wftw/be-determined-to-make-spiritual-progress', 10.356396648993499, 2]]"
core,"[['https://www.cfcindia.org/wftw/a-church-becomes-like-its-leader', 11.027261306229521, 4], ['https://www.cfcindia.org/wftw/fellowship-and-unity', 2.7025281179194094, 5]]"
wolves,"[['https://www.cfcindia.org/wftw/the-influence-of-one-man-0', 16.965701279124957, 1]]"
vilest,"[['https://www.cfcindia.org/wftw/enoch-pleased-god', 9.388140350924196, 1]]"
communities,"[['https://www.cfcindia.org/wftw/working-together-despite-differences', 6.5474100971251845, 6]]"
external,"[['https://www.cfcindia.org/wftw/the-importance-of-inward-cleansing', 9.314761900689518, 4], ['https://www.cfcindia.org/wftw/the-importance-of-inward-cleansing', 16.893632978132473, 4], ['https://www.cfcindia.org/wftw/holiness-is-the-characteristic-of-the-true-church-jerusalem', 9.581879494099182, 4]]"
village,"[['https://www.cfcindia.org/wftw/one-uncompromising-man', 4.515427313710229, 2], ['https://www.cfcindia.org/wftw/the-lord-loves-us-despite-all-our-limitations', 15.292409718414316, 2]]"
shell,"[['https://www.cfcindia.org/wftw/having-the-glory-of-god-in-an-earthen-vessel', 12.203943311384016, 2]]"
events,"[['https://www.cfcindia.org/wftw/god-controls-our-circumstances', 17.373447878114035, 1]]"
dearest,"[['https://www.cfcindia.org/wftw/now-i-know-that-you-fear-me-0', 8.134119839036634, 2]]"
payments,"[['https://www.cfcindia.org/wftw/let-the-flashlight-of-gods-word-shine-into-the-dark-corners', 12.828701514022702, 1]]"
perfect,"[['https://www.cfcindia.org/wftw/restoration-and-forgiveness', 11.71749322730706, 1], ['https://www.cfcindia.org/wftw/the-life-of-jesus', 12.365370194840635, 1], ['https://www.cfcindia.org/wftw/the-will-of-god', 11.56205297993943, 2]]"
applause,"[['https://www.cfcindia.org/wftw/let-your-ambition-be-to-please-god', 10.363740845408396, 1], ['https://www.cfcindia.org/wftw/enoch-pleased-god', 8.9177879234541, 1]]"
mother,"[['https://www.cfcindia.org/wftw/jesus-said-you-shall-receive-power-acts-18', 9.413205241049562, 2], ['https://www.cfcindia.org/wftw/god-takes-great-delight-in-turning-the-tables-on-satan', 11.176048302676092, 1], ['https://www.cfcindia.org/wftw/the-ministry-of-the-holy-spirit-9', 9.116511491400953, 3], ['https://www.cfcindia.org/wftw/good-news-for-young-people', 11.023706505766985, 1], ['https://www.cfcindia.org/wftw/three-tests-that-abraham-passed', 10.433363546385443, 2], ['https://www.cfcindia.org/wftw/the-primary-mark-of-being-filled-with-the-holy-spirit', 15.16065522947864, 1], ['https://www.cfcindia.org/wftw/some-glorious-truths-from-the-first-book-of-inspired-scripture', 9.798744384856272, 1], ['https://www.cfcindia.org/wftw/perfect-forgiveness', 11.270568254394378, 1], ['https://www.cfcindia.org/wftw/the-story-of-a-woman-who-found-god-and-also-a-good-husband', 9.730241110266558, 6], ['https://www.cfcindia.org/wftw/the-story-of-a-woman-who-found-god-and-also-a-good-husband', 10.283999727930604, 6], ['https://www.cfcindia.org/wftw/jesus-came-to-save-the-worst-of-sinners', 10.992495705564458, 1], ['https://www.cfcindia.org/wftw/overcoming-the-spirit-of-lying', 9.542226895760223, 1], ['https://www.cfcindia.org/wftw/god-binds-husband-and-wife-together', 5.625565866609722, 3], ['https://www.cfcindia.org/wftw/pauls-example-in-serving-the-lord', 11.757631868123989, 3], ['https://www.cfcindia.org/wftw/your-tongue-is-the-test-of-your-spirituality', 8.830929371748427, 3], ['https://www.cfcindia.org/wftw/christ-loved-the-church-and-gave-himself-for-her', 11.703707790795384, 16], ['https://www.cfcindia.org/wftw/christ-loved-the-church-and-gave-himself-for-her', 7.677945485075136, 16], ['https://www.cfcindia.org/wftw/be-not-drunk-with-wine-but-be-filled-with-the-holy-spirit', 9.566417020292587, 1], ['https://www.cfcindia.org/wftw/the-ministry-of-the-holy-spirit', 12.562364339740956, 3], ['https://www.cfcindia.org/wftw/be-saved-from-the-spirit-of-the-antichrist', 11.603973013746003, 1], ['https://www.cfcindia.org/wftw/samuel-grew-up-in-favour-both-with-the-lord-and-with-men', 10.2142909498882, 1], ['https://www.cfcindia.org/wftw/the-spirit-of-praise-and-holiness', 11.907728134061031, 1], ['https://www.cfcindia.org/wftw/don%E2%80%99t-view-others-with-contempt', 10.790061962371603, 2], ['https://www.cfcindia.org/wftw/an-example-of-a-godly-woman-with-faith', 8.890599994238642, 3], ['https://www.cfcindia.org/wftw/consider-others-as-more-important-than-yourself', 11.03839012023108, 1], ['https://www.cfcindia.org/wftw/god-can-give-you-wisdom-to-handle-any-problem', 9.571421819243648, 1], ['https://www.cfcindia.org/wftw/the-principle-of-sacrifice', 8.12459982244813, 16], ['https://www.cfcindia.org/wftw/the-principle-of-sacrifice', 10.628695800265403, 16], ['https://www.cfcindia.org/wftw/god-is-dependent-on-broken-men-for-his-work-on-earth', 10.082314814150187, 2], ['https://www.cfcindia.org/wftw/the-glorious-calling-of-women-as-mothers', 6.196580236304567, 16], ['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan-0', 12.78524166615192, 1], ['https://www.cfcindia.org/wftw/a-splendid-example-of-a-godly-man', 9.276671603288273, 2], ['https://www.cfcindia.org/wftw/disciplining-our-bodily-passions', 10.476561194077776, 1], ['https://www.cfcindia.org/wftw/amazing-faith-of-a-godly-mother', 7.029686398236395, 3], ['https://www.cfcindia.org/wftw/amazing-faith-of-a-godly-mother', 2.942320927327656, 3], ['https://www.cfcindia.org/wftw/the-primary-mark-of-a-newcovenant-church', 10.367006920061387, 1], ['https://www.cfcindia.org/wftw/god-was-wellpleased-with-him-1', 10.727694436825665, 1], ['https://www.cfcindia.org/wftw/god-was-wellpleased-with-him-1', 9.194995212291424, 1], ['https://www.cfcindia.org/wftw/threefold-hedge-around-a-godly-man', 10.211422724053964, 2], ['https://www.cfcindia.org/wftw/two-different-streams', 10.624352700792992, 1], ['https://www.cfcindia.org/wftw/seek-to-have-largeness-of-heart', 10.908327033190362, 4], ['https://www.cfcindia.org/wftw/there-is-no-mercy-in-hell', 9.144475394443862, 2], ['https://www.cfcindia.org/wftw/an-outstanding-warning-to-all-men', 10.48860740813878, 1], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 10.184076058843337, 16], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 6.555372596973144, 16], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 10.323526999887678, 16], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 4.210141285163064, 16], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 7.033247279943767, 16], ['https://www.cfcindia.org/wftw/god-is-silently-planning-for-you-in-love', 8.959328827513833, 2], ['https://www.cfcindia.org/wftw/god-is-silently-planning-for-you-in-love', 11.955917147004344, 2], ['https://www.cfcindia.org/wftw/the-lord-knew-us-before-we-were-formed-in-the-womb', 10.151354554665799, 4], ['https://www.cfcindia.org/wftw/watch-out-for-the-spirit-of-antichrist', 9.569963731126471, 1], ['https://www.cfcindia.org/wftw/watch-out-for-the-spirit-of-antichrist', 11.929517709642797, 1], ['https://www.cfcindia.org/wftw/learning-not-to-despise-people', 11.04608288035228, 2], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice-0', 8.007214399044319, 16], ['https://www.cfcindia.org/wftw/a-wise-man-learns-from-the-mistakes-of-others', 10.000080250825855, 1], ['https://www.cfcindia.org/wftw/called-by-god-0', 10.481145697731138, 7], ['https://www.cfcindia.org/wftw/importance-of-unity-in-a-home', 9.409235173194679, 1], ['https://www.cfcindia.org/wftw/true-humility-leads-to-giving-thanks-in-all-things', 10.261587196849721, 1], ['https://www.cfcindia.org/wftw/gods-care-for-a-young-woman-in-distress', 11.040686667514285, 4], ['https://www.cfcindia.org/wftw/people-go-astray-when-leaders-go-astray', 10.870605771135937, 3], ['https://www.cfcindia.org/wftw/god-looks-for-a-man-of-character', 9.094041419679685, 1], ['https://www.cfcindia.org/wftw/jerusalem-and-babylon-contrasted', 8.920978294779003, 1], ['https://www.cfcindia.org/wftw/god-is-impressed-only-by-our-character', 10.759738378043505, 1], ['https://www.cfcindia.org/wftw/contrast-between-a-true-spiritual-father-and-a-teacher', 10.37342522748683, 1], ['https://www.cfcindia.org/wftw/called-by-god', 10.844469565422298, 7], ['https://www.cfcindia.org/wftw/called-by-god', 8.61982003512776, 7], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice', 12.21962367469072, 15], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice', 8.662471239491131, 15], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice', 8.375492914910886, 15], ['https://www.cfcindia.org/wftw/gods-unchanging-love', 8.818931800169047, 2], ['https://www.cfcindia.org/wftw/gods-unchanging-love', 11.982404489142722, 2], ['https://www.cfcindia.org/wftw/love-the-basis-of-all-gods-dealings-with-man', 10.680299992846486, 1], ['https://www.cfcindia.org/wftw/discipleship-and-the-home', 8.894916568953798, 6], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god', 10.964720733610699, 1], ['https://www.cfcindia.org/wftw/praising-the-lord-in-holy-attire', 9.765279713145738, 1], ['https://www.cfcindia.org/wftw/the-presence-of-god', 9.416148022077738, 1], ['https://www.cfcindia.org/article/jesus-our-example-as-a-preacher', 11.162431710711083, 1], ['https://www.cfcindia.org/article/god-needs-women', 8.761309630655155, 18], ['https://www.cfcindia.org/article/what-the-lord-has-done-for-me', 11.239521326197693, 2]]"
inheritance,"[['https://www.cfcindia.org/wftw/the-power-of-godly-music-and-praise', 14.747772074762654, 1], ['https://www.cfcindia.org/wftw/the-true-grace-of-god-0', 15.607976746048942, 2], ['https://www.cfcindia.org/wftw/recognise-that-you-are-not-indispensable', 8.002331771828713, 1], ['https://www.cfcindia.org/wftw/pride-is-more-dangerous-than-adultery', 7.9628843880068505, 1]]"
liberty,"[['https://www.cfcindia.org/wftw/god-delights-in-one-who-serves-cheerfully', 9.523000703939788, 1], ['https://www.cfcindia.org/wftw/the-holy-spirit-transforms-us-from-glory-to-glory', 9.43901520953137, 2], ['https://www.cfcindia.org/wftw/taking-the-yoke-of-jesus-upon-us', 9.415266770200203, 1], ['https://www.cfcindia.org/wftw/gods-plan-is-the-best', 9.434473807927237, 1]]"
gritty,"[['https://www.cfcindia.org/wftw/leadership-qualities-of-nehemiah', 7.166398498484288, 1]]"
discipline,"[['https://www.cfcindia.org/wftw/discernment-discipline', 9.51555459658513, 8], ['https://www.cfcindia.org/wftw/discernment-discipline', 10.463114690781401, 8], ['https://www.cfcindia.org/wftw/true-holiness-8', 11.286806649656251, 2], ['https://www.cfcindia.org/wftw/holiness-and-gods-unchanging-love-0', 9.073994815537496, 4], ['https://www.cfcindia.org/wftw/restoration-and-forgiveness', 12.713915253928004, 3], ['https://www.cfcindia.org/wftw/learn-to-discipline-your-ears-eyes-and-the-tongue', 8.0989259574724, 5], ['https://www.cfcindia.org/wftw/jesus-never-pleased-himself', 10.710344489128842, 3], ['https://www.cfcindia.org/wftw/the-secret-of-living-a-godly-life', 9.443547373137429, 3], ['https://www.cfcindia.org/wftw/victory-through-faith-in-the-love-of-god', 10.404733993348497, 1], ['https://www.cfcindia.org/wftw/effective-prophetic-ministry-through-suffering', 10.185072766829949, 4], ['https://www.cfcindia.org/wftw/watch-your-thought-life-with-all-diligence', 11.583680867564064, 6], ['https://www.cfcindia.org/wftw/watch-your-thought-life-with-all-diligence', 8.76831993236995, 6], ['https://www.cfcindia.org/wftw/the-importance-of-disciplining-our-body', 8.98415735336057, 5], ['https://www.cfcindia.org/wftw/words-of-wisdom', 9.833648059356989, 2], ['https://www.cfcindia.org/wftw/holiness-and-gods-unchanging-love', 11.736848391445557, 4], ['https://www.cfcindia.org/wftw/a-transformed-mind', 11.623618136040646, 1], ['https://www.cfcindia.org/wftw/overcoming-evil-thoughts', 11.785313286156114, 7], ['https://www.cfcindia.org/wftw/overcoming-evil-thoughts', 9.021832262230332, 7], ['https://www.cfcindia.org/wftw/deliverance-from-indecision', 11.306019478069185, 1], ['https://www.cfcindia.org/wftw/encouraging-others-0', 10.218220668546873, 1], ['https://www.cfcindia.org/wftw/a-renewed-mind', 10.06048258067312, 1], ['https://www.cfcindia.org/wftw/lukewarmness', 15.82676505234289, 1], ['https://www.cfcindia.org/wftw/the-spirit-filled-life', 6.3911336402958066, 4], ['https://www.cfcindia.org/wftw/being-secure-in-the-love-of-god', 10.359441368734844, 1], ['https://www.cfcindia.org/wftw/divine-discipline', 9.251898337267273, 5], ['https://www.cfcindia.org/wftw/continuous-enlargement', 15.29923121202207, 4], ['https://www.cfcindia.org/wftw/god-loves-us-as-he-loved-jesus', 10.32809251536021, 1], ['https://www.cfcindia.org/wftw/encouraging-others', 10.122025205757124, 1], ['https://www.cfcindia.org/article/your-decisions-determine-what-you-become', 11.519422890600662, 3], ['https://www.cfcindia.org/article/four-types-of-backsliders', 10.37475036548678, 2], ['https://www.cfcindia.org/article/discipline-of-elders-in-the-church', 10.867726755736998, 6]]"
